"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"Sevilla FC","Defender","Mercado","23","2","26","80","744"
"Sevilla FC","Midfielder","Amadou","17","0","11","45","352"
"Sevilla FC","Midfielder","R. Mesa","31","1","14","153","914"
"Sevilla FC","Midfielder","Banega","32","3","28","290","2.091"
"Sevilla FC","Midfielder","Aleix Vidal","11","0","4","31","251"
"Sevilla FC","Midfielder","Gonalons","10","0","5","36","333"
"Sevilla FC","Midfielder","J. Navas","32","2","30","172","1.418"
"Sevilla FC","Midfielder","Sarabia","33","12","22","141","1.208"
"Sevilla FC","Midfielder","Marko Rog","10","0","8","37","206"
"Sevilla FC","Midfielder","Vázquez","34","3","24","153","1.068"
"Sevilla FC","Midfielder","Bryan Gil Salvatierra","11","2","1","11","65"
"Sevilla FC","Forward","Nolito","4","2","0","2","27"
"Sevilla FC","Forward","Ben Yedder","35","18","11","93","755"
"Sevilla FC","Forward","André Silva","27","9","3","57","538"
"Sevilla FC","Forward","Munir","23","6","6","38","376"
"Sevilla FC","Forward","Promes","33","1","25","112","757"
"Valencia CF","Goalkeeper","Domenech","4","0","0","34","73"
"Valencia CF","Goalkeeper","Neto","34","0","1","272","691"
"Valencia CF","Defender","Roncaglia","19","0","30","110","806"
"Valencia CF","Defender","Gabriel Paulista","30","0","70","158","1.298"
"Valencia CF","Defender","Diakhaby","22","2","20","96","696"
"Valencia CF","Defender","Gayá","35","1","43","192","1.451"
"Valencia CF","Defender","Lato","4","0","6","19","141"
"Valencia CF","Defender","Piccini ","23","1","27","120","771"
"Valencia CF","Defender","Garay","24","2","17","89","1.07"
"Valencia CF","Defender","Hugo Guillamón","0","0","0","0","0"
"Valencia CF","Midfielder","Kondogbia","19","0","27","100","744"
"Valencia CF","Midfielder","Gonçalo Guedes","25","5","7","82","598"
"Valencia CF","Midfielder","Carlos Soler","31","2","19","149","902"
"Valencia CF","Midfielder","Parejo","36","9","46","270","2.215"
"Valencia CF","Midfielder","Chéryshev","27","2","15","113","606"
"Valencia CF","Midfielder","Lee Kang-In","3","1","1","2","13"
"Valencia CF","Midfielder","Coquelin","26","0","49","162","967"
"Valencia CF","Midfielder","Wass","32","0","34","130","1.148"
"Valencia CF","Midfielder","Fran Navarro","0","1","0","0","0"
"Valencia CF","Forward","Gameiro","33","6","5","43","422"
"Valencia CF","Forward","Rodrigo","33","8","3","74","829"
"Valencia CF","Forward","Ferrán","24","1","10","50","292"
"Valencia CF","Forward","S. Mina","30","7","4","53","463"
"Valencia CF","Forward","Sobrino","24","3","3","34","281"
"Villarreal CF","Goalkeeper","S. Asenjo ","32","0","3","248","686"
"Villarreal CF","Goalkeeper","Andrés Fdez","6","0","0","48","171"
"Villarreal CF","Goalkeeper","Barbosa","0","0","0","0","0"
"Villarreal CF","Defender","Quintillà","7","0","8","29","279"
"Villarreal CF","Defender","Mario Gaspar","31","1","42","118","1.053"
"Villarreal CF","Defender","Álvaro ","33","1","37","128","1.496"
"Villarreal CF","Defender","Funes Mori","31","2","45","175","1.212"
"Villarreal CF","Defender","Víctor Ruiz","22","0","38","117","1.197"
"Villarreal CF","Defender","J. Costa","21","1","21","82","778"
"Villarreal CF","Defender","Miguelón","8","0","12","30","163"
